# x	y	u	v	mask
  1.8200	  0.5200	  1.3787	 -0.3704	  1.0000
  2.0800	  0.5200	  1.0126	 -0.4730	  1.0000
  2.3400	  0.5200	  0.0000	  0.0000	  0.0000
  2.6000	  0.5200	  0.2848	 -0.6042	  1.0000
  2.8600	  0.5200	  0.0000	  0.0000	  0.0000
  3.1200	  0.5200	 -0.2169	 -0.7814	  1.0000
  3.3800	  0.5200	  0.0531	 -0.5388	  1.0000
  0.2600	  0.2600	  1.8314	  0.3462	  1.0000
  0.5200	  0.2600	  0.0000	  0.0000	  0.0000
  0.7800	  0.2600	  0.0000	  0.0000	  0.0000
  1.0400	  0.2600	  0.0000	  0.0000	  0.0000
  1.3000	  0.2600	  0.0000	  0.0000	  0.0000
  1.5600	  0.2600	  0.0000	  0.0000	  0.0000
  1.8200	  0.2600	  0.9867	 -0.2879	  1.0000
  2.0800	  0.2600	  0.0000	  0.0000	  0.0000
  2.3400	  0.2600	  0.1384	 -0.5610	  1.0000
  2.6000	  0.2600	 -0.0447	 -0.6548	  1.0000
  2.8600	  0.2600	  0.0000	  0.0000	  0.0000
  3.1200	  0.2600	  0.0000	  0.0000	  0.0000
  3.3800	  0.2600	 -0.1922	 -0.6084	  1.0000
